#-------------------------------------RL(r) evaluation with BERTScore--------------------------#

0010400.tar  score:0.894145667552948

0010600.tar  score:0.8963606953620911

0010800.tar  score:0.893333375453949

0011000.tar  score:0.8914797902107239

0011200.tar  score:0.8849109411239624

0011400.tar  score:0.8856309652328491

0011600.tar  score:0.884159505367279

0011800.tar  score:0.8870136737823486

0012000.tar  score:0.885572075843811

0012200.tar  score:0.8829970359802246

0012400.tar  score:0.8848840594291687

0012600.tar  score:0.8753311038017273

0012800.tar  score:0.8752766847610474

0013000.tar  score:0.8711796998977661

0013200.tar  score:0.860256016254425

0013400.tar  score:0.8647223114967346

0013600.tar  score:0.865389347076416

0013800.tar  score:0.8622854948043823

0014000.tar  score:0.8690065741539001

0014200.tar  score:0.8716298341751099

0014400.tar  score:0.8741652965545654

0014600.tar  score:0.8676385283470154

0014800.tar  score:0.8592013120651245

0015000.tar  score:0.8565548658370972

0015200.tar  score:0.8608132004737854

0015400.tar  score:0.8462668657302856

0015600.tar  score:0.8408236503601074

0015800.tar  score:0.8482798337936401

0016000.tar  score:0.8577858209609985


------------------------Testing---------------------

0010600.tar  score:0.8831050992012024









